facility_id,name,state,water_bws_raw,water_bws_score,water_bws_cat,water_bws_label,water_stress_class
dc_2cc523155665,Amazon Web Services,MS,0.3717531772826024,2.8943450726886293,2.0,Medium - High (20-40%),medium_to_high
dc_aa437d7ed6c9,Amazon Web Services,MS,0.3717531772826024,2.8943450726886293,2.0,Medium - High (20-40%),medium_to_high
dc_945543dfe7d9,Amazon Web Services,MS,0.3717531772826024,2.8943450726886293,2.0,Medium - High (20-40%),medium_to_high
dc_cb943ec8c29b,QTS,GA,0.1121394110836469,1.1652933984148754,1.0,Low - Medium (10-20%),low_to_medium
dc_48932a950563,QTS,GA,0.1121394110836469,1.1652933984148754,1.0,Low - Medium (10-20%),low_to_medium
dc_104eefb08c2e,,VA,0.6015430799817176,3.5886680608434567,3.0,High (40-80%),high
dc_74f020694462,Amazon Web Services,VA,0.6015430799817176,3.5886680608434567,3.0,High (40-80%),high
dc_6eb415a8ef3b,Amazon Web Services,VA,0.6015430799817176,3.5886680608434567,3.0,High (40-80%),high
dc_62dd2b7fa7cc,Amazon Web Services,VA,0.6015430799817176,3.5886680608434567,3.0,High (40-80%),high
dc_acfd3a40de9f,Amazon Web Services,VA,0.6015430799817176,3.5886680608434567,3.0,High (40-80%),high
dc_85aaa696bf19,Amazon Web Services,VA,0.6015430799817176,3.5886680608434567,3.0,High (40-80%),high
dc_48d6192ea411,,TX,9999.0,5.0,4.0,Extremely High (>80%),extremely_high
dc_d8d34358af13,,TX,9999.0,5.0,4.0,Extremely High (>80%),extremely_high
dc_43d1b8fa745f,,TX,9999.0,5.0,4.0,Extremely High (>80%),extremely_high
dc_5e31a13f74b9,,TX,9999.0,5.0,4.0,Extremely High (>80%),extremely_high
dc_02cbb0a9f4e7,Digital Realty Northern Virginia IAD40,VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_d1e1933ac3d8,Vantage VA14,VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_640f760993bb,Information Systems Facility,NM,1.0,5.0,-1.0,Arid and Low Water Use,arid_and_low_water_use
dc_9ecfe9c3bf78,,VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_e83acd2e78d1,,VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_054193767570,Equinix,VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_daf88193f8d2,Digital Realty,TX,0.4627028461033826,3.2100859730043703,3.0,High (40-80%),high
dc_2e1860ff6362,"Landmax Data Systems, Inc",NY,0.0011656292730649,0.0,0.0,Low (<10%),low
dc_5e1d8fbc3e75,DataBank SLC6,UT,0.469868825296039,3.2322580514530403,3.0,High (40-80%),high
dc_b492591b9a2d,Digital Realty,TX,0.4627028461033826,3.2100859730043703,3.0,High (40-80%),high
dc_e0c1cc3cf46a,NTT,TX,0.4627028461033826,3.2100859730043703,3.0,High (40-80%),high
dc_97a8471652c2,Aligned  DFW-02,TX,0.4627028461033826,3.2100859730043703,3.0,High (40-80%),high
dc_94ad65dfbe69,Verizon,NJ,0.7332162113110322,3.874238684022204,3.0,High (40-80%),high
dc_953d28b6d60c,OVHcloud - Hillsboro,OR,0.0235327613407314,0.0,0.0,Low (<10%),low
dc_90940e7c3b70,Google Data Center,NC,0.3844237576576458,2.942697498431475,2.0,Medium - High (20-40%),medium_to_high
dc_b1bab62f304f,Liberty Center One,MI,0.1666497815934642,1.73681942669369,1.0,Low - Medium (10-20%),low_to_medium
dc_9c866fe205ee,Apple - Maiden Data Center,NC,0.6226093075610709,3.638327144220889,3.0,High (40-80%),high
dc_f4bc8c66c017,HPC,NM,0.5967076002789633,3.577024152651049,3.0,High (40-80%),high
dc_d1aef113ad23,Barclays Datacenter,NJ,0.8060484215120046,4.010866507955395,4.0,Extremely High (>80%),extremely_high
dc_935e740f9717,CyberNAP Glen Burnie,MD,0.1091981029694093,1.126947793433607,1.0,Low - Medium (10-20%),low_to_medium
dc_82b88a5440d2,Meta Huntsville Data Center,AL,0.0620864225029411,0.3123497093174933,0.0,Low (<10%),low
dc_ddf0f305ef19,Dakota Carrier Network,ND,0.1091110813186345,1.1257976291738507,1.0,Low - Medium (10-20%),low_to_medium
dc_bb1260086ef0,Microsoft Data Center 1,VA,0.6015430799817176,3.5886680608434567,3.0,High (40-80%),high
dc_2fb6faada02b,QTS Data Center - Hillsboro 3,OR,0.0235327613407314,0.0,0.0,Low (<10%),low
dc_781f2b85da3d,EAT14,WA,0.0083740489920188,0.0,0.0,Low (<10%),low
dc_7daf03548fa7,EAT13,WA,0.0083740489920188,0.0,0.0,Low (<10%),low
dc_0418bc301d33,EAT12,WA,0.0083740489920188,0.0,0.0,Low (<10%),low
dc_5a3101d7946e,,VA,0.6015430799817176,3.5886680608434567,3.0,High (40-80%),high
dc_e5983c042068,Google datacenter,SC,0.3601770742051534,2.8487063545280726,2.0,Medium - High (20-40%),medium_to_high
dc_4c251ee10a95,,SC,0.3601770742051534,2.8487063545280726,2.0,Medium - High (20-40%),medium_to_high
dc_f08f429f5b31,AWS IAD-500 and IAD-501,VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_9f6881cb0524,Dorchester County Google Datacenter,SC,0.3601770742051534,2.8487063545280726,2.0,Medium - High (20-40%),medium_to_high
dc_f394a25ba7ff,CyrusOne Datacenter,TX,0.9260193450707512,4.211042332520197,4.0,Extremely High (>80%),extremely_high
dc_56aaea9dd837,,MS,0.0008941786707423,0.0,0.0,Low (<10%),low
dc_831ce16615b7,,MS,0.0008941786707423,0.0,0.0,Low (<10%),low
dc_e43a3cf43272,,MS,0.0008941786707423,0.0,0.0,Low (<10%),low
dc_3525b583d0e6,,MS,0.0008941786707423,0.0,0.0,Low (<10%),low
dc_ae738dd582dd,,MS,0.0008941786707423,0.0,0.0,Low (<10%),low
dc_36754c52f050,"Equinix DC1-DC15,DC21-DC22 - Ashburn",VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_9acc15c3d0a9,Digital Realty SFO (200 Paul),CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_4cf5e14e6a53,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_82835681bfc0,Equinix CH1/CH2/CH4 - Chicago,IL,0.5400128749200278,3.4329938042424906,3.0,High (40-80%),high
dc_7015a8562d9d,Equinix LA1 - Los Angeles,CA,3.498304470635781,5.0,4.0,Extremely High (>80%),extremely_high
dc_34c302840328,"Equinix NY1 - New York, Newark",NJ,0.0674212649583831,0.4312756005460976,0.0,Low (<10%),low
dc_88450995c8ab,Digital Realty NYC (60 Hudson),NY,0.0582514275760176,0.2203653116452903,0.0,Low (<10%),low
dc_ac4ba4acc418,Equinix AT2/AT3 - Atlanta,GA,0.2660305124910562,2.4115917257827646,2.0,Medium - High (20-40%),medium_to_high
dc_faa6dba0bad0,"Equinix MI1 - Miami, NOTA",FL,0.1623191715683282,1.6988334071138476,1.0,Low - Medium (10-20%),low_to_medium
dc_05323da3c824,Digital Realty NYC (111 8th Ave),NY,0.0309236161688102,0.0,0.0,Low (<10%),low
dc_d4fbdd3d160d,CoreSite - San Jose (SV1),CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_4fd715d56b5a,FedConnect San Francisco,CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_8b1409a7c09c,JMA NAC Los Angeles,CA,3.498304470635781,5.0,4.0,Extremely High (>80%),extremely_high
dc_64ef535e80b4,Digital Realty SFO (365 Main),CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_483139dbc068,The Mission Street Center,CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_6cd941ab7126,SVTIX San Jose,CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_5c289e8fcbb5,"Equinix NY9 - New York, 111 8th Avenue",NY,0.0309236161688102,0.0,0.0,Low (<10%),low
dc_6377f6789f0d,Digital Realty Seattle SEA10,WA,0.1737549870757756,1.7970543863324724,1.0,Low - Medium (10-20%),low_to_medium
dc_95e3409a561c,KDWEB San Jose,CA,0.1689635970511883,1.756712453544042,1.0,Low - Medium (10-20%),low_to_medium
dc_2c5adc2a0ab8,Equinix SE2/SE3 - Seattle,WA,0.1737549870757756,1.7970543863324724,1.0,Low - Medium (10-20%),low_to_medium
dc_e060f829c242,"Equinix DC7 - Ashburn, Vienna",VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_1d517d9c43cf,Equinix LA2 - Los Angeles,CA,3.498304470635781,5.0,4.0,Extremely High (>80%),extremely_high
dc_ed793f68cc82,Digital Realty NYC (32 AofA),NY,0.0582514275760176,0.2203653116452903,0.0,Low (<10%),low
dc_c34856e581f7,Digital Realty ATL (56 Marietta),GA,0.2660305124910562,2.4115917257827646,2.0,Medium - High (20-40%),medium_to_high
dc_0cfbf292e004,"Equinix DC8 - Ashburn, Vienna",VA,0.055798858778338,0.158307520864789,0.0,Low (<10%),low
dc_eb804c8b0e43,Equinix PH1 - Philadelphia,PA,0.3556337766461611,2.830392351967968,2.0,Medium - High (20-40%),medium_to_high
