facility_id,name,operator_company,facility_type,status,state,county,latitude,longitude,coordinate_precision,verification_status,coord_confidence,size_sqft,num_floors,haz_lightning_flash_per_km2_yr,haz_seismic_pga_g_475yr,haz_seismic_pga_g_475yr_method,haz_seismic_pga_g_975yr,haz_seismic_pga_g_975yr_method,haz_seismic_pga_g_2475yr,haz_seismic_pga_g_2475yr_method,haz_wildfire_whp_code,haz_wildfire_whp_severity,haz_wildfire_surface,haz_wildfire_burnable_frac_1000m,haz_wildfire_max_severity_1000m,haz_wildfire_burnable_frac_2400m,haz_wildfire_max_severity_2400m,haz_wildfire_burnable_frac_5000m,haz_wildfire_max_severity_5000m,haz_seismic_pga_g_2475yr_usgs,haz_seismic_sa_02s_g,haz_seismic_sa_1s_g,haz_seismic_sa_02s_g_975yr,haz_seismic_sa_1s_g_975yr,haz_seismic_sa_02s_g_225yr,haz_seismic_sa_1s_g_225yr,haz_seismic_source,qa_coordinate_on_water
dc_ba3a04b0acb7,Agricultural and Biological Engineering,,unknown,operational,IN,Tippecanoe,40.4218543,-86.9165454,building,pending,medium,,,22.477502822875977,0.045,1,0.07500000000000001,1,0.125,1,6.0,,non_burnable,0.09302325581395349,1.0,0.33877551020408164,1.0,0.3691026827012026,1.0,0.092,0.21,0.093,0.099,0.057,0.044,0.02,USGS ASCE 7-22 point service (site class BC),False
dc_eef3ba94431e,Windstream Communications,,unknown,operational,NC,Durham,35.881397,-78.851552,building,pending,medium,,,15.275832176208496,0.035,1,0.055,1,0.095,1,3.0,3.0,moderate,0.35714285714285715,3.0,0.4331983805668016,3.0,0.5060240963855421,3.0,0.073,0.18,0.067,0.085,0.044,0.036,0.018,USGS ASCE 7-22 point service (site class BC),False
dc_d1631b663c48,Level 3 Communications,,unknown,operational,NC,Durham,35.881364,-78.8515726,building,pending,medium,,,15.275832176208496,0.035,1,0.055,1,0.095,1,3.0,3.0,moderate,0.35714285714285715,3.0,0.4331983805668016,3.0,0.5060240963855421,3.0,0.073,0.18,0.067,0.085,0.044,0.036,0.018,USGS ASCE 7-22 point service (site class BC),False
dc_a28b6b533687,OptimumHQ,,unknown,operational,AZ,Maricopa,33.3804149,-111.7526684,building,pending,medium,,,7.883434772491455,0.025,1,0.035,1,0.065,1,6.0,,non_burnable,0.18181818181818182,4.0,0.1388888888888889,4.0,0.13674418604651162,4.0,0.079,0.19,0.06,0.119,0.045,0.044,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_2980260de3e5,The Chatfield Group,,unknown,operational,AZ,Maricopa,33.380601,-111.7528888,building,pending,medium,,,7.883434772491455,0.025,1,0.035,1,0.065,1,6.0,,non_burnable,0.17777777777777778,4.0,0.1383399209486166,4.0,0.1369990680335508,4.0,0.079,0.19,0.06,0.119,0.045,0.044,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_b9549d1a3e6c,All About Serving Process Server,,unknown,operational,AZ,Maricopa,33.3199157,-111.809686,building,pending,medium,,,7.883434772491455,0.025,1,0.035,1,0.055,1,6.0,,non_burnable,0.044444444444444446,4.0,0.08264462809917356,4.0,0.1447004608294931,4.0,0.074,0.18,0.058,0.113,0.044,0.042,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_4dccde6d1dfb,Emailage,,unknown,operational,AZ,Maricopa,33.302965,-111.8405386,building,pending,medium,,,7.883434772491455,0.025,1,0.035,1,0.055,1,6.0,,non_burnable,0.09302325581395349,4.0,0.10121457489878542,4.0,0.14007421150278293,4.0,0.073,0.18,0.058,0.111,0.044,0.042,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_0ffde5e0d6a1,Alliance Technology,,unknown,operational,AZ,Maricopa,33.3799862,-111.728405,building,pending,medium,,,7.883434772491455,0.025,1,0.035,1,0.065,1,6.0,,non_burnable,0.16666666666666666,4.0,0.1975806451612903,4.0,0.14471243042671614,4.0,0.08,0.2,0.061,0.121,0.045,0.044,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_74f18bfa8df0,8100 Boone Boulevard,Digital Realty,colocation,operational,VA,Fairfax,38.913156,-77.225732,building,CANDIDATE,high,19578.3,5.0,13.629328727722168,0.055,1,0.095,1,0.165,1,6.0,,non_burnable,0.046511627906976744,1.0,0.22672064777327935,1.0,0.35288640595903165,1.0,0.077,0.15,0.042,0.084,0.03,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_4465586fa278,Atlanta ATL13,Digital Realty,colocation,operational,GA,Fulton,33.7555186,-84.3914814,building,pending,medium,,,16.562829971313477,0.055,1,0.08499999999999999,1,0.14500000000000002,1,6.0,,non_burnable,0.0,,0.012244897959183673,3.0,0.16081330868761554,3.0,0.11,0.25,0.093,0.128,0.063,0.064,0.027,USGS ASCE 7-22 point service (site class BC),False
