facility_id,name,state,latitude,longitude,building_match,building_dist_m,search_radius_m,n_buildings_in_radius,largest_nearby_sqft,largest_nearby_dist_m,largest_nearby_height_m,build_id,footprint_sqft,source_sqft,height_m,occupancy_class,building_address,imagery_date,flood_zone,flood_mapped,flood_sfha,flood_subtype,building_match_confidence,multi_storey,fp_cells,fp_whp_max,fp_whp_burnable_frac,fp_whp_modal,haz_wildfire_whp_code,haz_wildfire_max_severity_1000m,haz_seismic_pga_g_475yr,haz_lightning_flash_per_km2_yr
dc_0a62b3bc7207,Amazon Web Services,VA,38.8019,-77.6206,nearest,114.49708897542614,200.0,2,2808.2,114.49708897542614,3.99,7699074.0,2808.2,2808.193,3.99,Unclassified,14495 JOHN MARSHALL HIGHWAY,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,1.0,2.0,1.0,2.0,2.0,2.0,0.065,12.71955680847168
dc_a46fb1abda97,Iron Mountain VA-4,VA,38.7744146,-77.54223,nearest,59.93497862042406,200.0,2,2787.8,112.6180390442769,2.71,7688578.0,1495.8,1495.786,5.53,Commercial,11600 HAYDEN ROAD,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,1.0,,0.0,6.0,6.0,1.0,0.065,12.71955680847168
dc_c06b85cd674e,Iron Mountain VA-5,VA,38.773028,-77.5411854,nearest,216.09866677030436,800.0,59,220823.1,543.8778161046359,,50232671.0,871.5,871.8709,,Unclassified,,1654387200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,,2.0,1.0,0.5,1.0,1.0,2.0,0.065,12.71955680847168
dc_e1d5b1f3fda5,QTS Manassas DC2,VA,38.7531664,-77.5108824,nearest,12.576757251639153,200.0,9,129903.1,167.64226467595756,,7679376.0,1454.1,1454.139,6.79,Unclassified,9450 GODWIN DRIVE,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,1.0,,0.0,6.0,6.0,1.0,0.065,12.71955680847168
dc_482ea594144f,,VA,38.7589306,-77.5166938,nearest,155.15743685425412,200.0,6,141977.4,196.68744406681137,,7680727.0,2923.1,2923.102,3.44,Industrial,10850 PYRAMID PLACE,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,1.0,,0.0,6.0,6.0,1.0,0.065,12.71955680847168
dc_e192ad80593e,Google,IA,41.17375,-95.7927,nearest,486.9126346975019,800.0,18,506742.4,648.5022484722381,,1990983.0,2141.5,2142.705,,Commercial,,1563494400000.0,X,True,False,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,low,,1.0,,0.0,6.0,6.0,3.0,0.015,17.158601760864258
dc_b926ad69f0b0,Google,IA,41.1736283,-95.7886606,nearest,461.5729516176877,800.0,18,4579.2,734.7570040392998,4.17,1985729.0,2075.6,2076.76,,Residential,,1563494400000.0,X,True,False,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,low,,1.0,,0.0,6.0,6.0,3.0,0.015,17.158601760864258
dc_2c01eccc6cb3,T5@Cleveland,OH,41.4426,-81.8022,contains,0.0,200.0,15,256737.7,192.8644629135422,6.09,9576914.0,237985.0,237984.8,9.36,Commercial,4100 WEST 150 STREET,1282003200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,2.0,,0.0,6.0,6.0,1.0,0.035,14.31541633605957
dc_12f2ff8f7b4c,42311 THUNDERBALL DR,VA,39.0425196,-77.5382898,contains,0.0,200.0,21,130791.3,118.55749825643652,,51110005.0,55584.8,55606.36,,Commercial,42311 THUNDERBALL DRIVE,1710374400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,2.0,1.0,1.0,1.0,1.0,1.0,0.055,11.454973220825195
dc_ed1e2cf9b5d8,42255 THUNDERBALL DR,VA,39.0416534,-77.539212,contains,0.0,200.0,19,90421.9,120.0013781856103,,51109551.0,72470.7,72498.86,,Commercial,42255 THUNDERBALL DRIVE,1710374400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,3.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.055,11.454973220825195
